c1_label,taxonomy_path
asphalt,root/solid/abiotic/ceramic/structural/asphalt
bread,root/solid/biotic/derivative/food/bread
brick,root/solid/abiotic/ceramic/structural/brick
carbon_fiber,root/solid/abiotic/polymer/textile/carbon_fiber
carpet,root/solid/abiotic/polymer/textile/carpet
concrete,root/solid/abiotic/ceramic/structural/concrete
flower,root/solid/biotic/natural/vegetation/flower
foam,root/solid/abiotic/polymer/plastic/foam
foliage,root/solid/biotic/natural/vegetation/foliage
fruit,root/solid/biotic/derivative/food/fruit
fur,root/solid/biotic/derivative/animal_hide/fur
generic_metal,root/solid/abiotic/metal/generic_metal
granite,root/solid/abiotic/rock/solid_mass/granite
grass,root/solid/biotic/natural/terrain/grass
gravel,root/solid/abiotic/rock/aggregate/gravel
ivy,root/solid/biotic/natural/vegetation/ivy
leather,root/solid/biotic/derivative/animal_hide/leather
limestone,root/solid/abiotic/rock/solid_mass/limestone
marble,root/solid/abiotic/rock/solid_mass/marble
moss,root/solid/biotic/natural/terrain/moss
natural_fiber,root/solid/abiotic/polymer/textile/natural_fiber
nylon,root/solid/abiotic/polymer/textile/nylon
paper,root/solid/biotic/derivative/wood/paper
plant_litter,root/solid/biotic/natural/terrain/plant_litter
plaster,root/solid/abiotic/ceramic/decorative/plaster
pottery,root/solid/abiotic/ceramic/decorative/pottery
sand,root/solid/abiotic/rock/aggregate/sand
satin,root/solid/abiotic/polymer/textile/satin
shale,root/solid/abiotic/rock/solid_mass/shale
soil,root/solid/biotic/natural/terrain/soil
straw,root/solid/biotic/natural/terrain/straw
suede,root/solid/biotic/derivative/animal_hide/suede
timber,root/solid/biotic/derivative/wood/timber
tree_bark,root/solid/biotic/derivative/wood/tree_bark
vegetable,root/solid/biotic/derivative/food/vegetable
wax,root/solid/abiotic/polymer/plastic/wax
wool,root/solid/abiotic/polymer/textile/wool
